Timestamp Saccade Onset,Timestamp Saccade Offset,Exclude from Anlysis,Timestamp Saccade Onset (2),X coordinate saccade onset,Y coordinate saccade onset,Timestamp Saccade Offset (2),X coordinate saccade offset,Y coordinate saccade offset,Saccade duration,Saccade latency,Movement,Mean horizonal position,Std horizonal position,Mean vertical position,Std vertical position,Trial #
1817.229986190796,2268.018960952759,0,1817.229986190796,4.7,6.38,2268.018960952759,5.84,-1.48,450.7889747619629,343.27101707458496,1,5.84,0,-1.48,0,164
2721.3008403778076,,1,2721.3008403778076,5.84,-1.48,,,,,453.2818794250488,1,,0,,0,164
,868.3478832244873,0,,0.0,-6.72,868.3478832244873,5.84,3.06,,,1,5.84,0,3.06,0,165
1320.4929828643799,1880.8109760284424,0,1320.4929828643799,5.84,3.06,1880.8109760284424,-4.14,6.140000000000001,560.3179931640625,452.1450996398926,1,-4.14,0,6.140000000000001,0,165
2230.902910232544,,1,2230.902910232544,-4.14,6.140000000000001,,,,,350.09193420410156,1,,0,,0,165
,1113.7189865112305,0,,0.0,-6.72,1113.7189865112305,1.12,1.56,,,1,1.12,0,1.56,0,166
1511.5761756896973,1912.6200675964355,0,1511.5761756896973,1.12,1.56,1912.6200675964355,-1.8,3.42,401.0438919067383,397.8571891784668,1,-1.8,0,3.42,0,166
1928.297996520996,2211.7321491241455,0,1928.297996520996,-1.8,3.42,2211.7321491241455,-1.8,3.42,283.4341526031494,15.677928924560547,1,-1.8,0,3.42,0,166
2661.177158355713,2929.2421340942383,0,2661.177158355713,-1.8,3.42,2929.2421340942383,-4.5,1.24,268.0649757385254,449.4450092315674,1,-4.5,0,1.24,0,166
3361.499071121216,,1,3361.499071121216,-4.5,1.24,,,,,432.25693702697754,1,,0,,0,166
,1146.4829444885254,0,,0.0,-6.72,1146.4829444885254,-1.84,7.1000000000000005,,,1,-1.84,0,7.1000000000000005,0,167
1629.4608116149902,,1,1629.4608116149902,-1.84,7.1000000000000005,,,,,482.97786712646484,1,,0,,0,167
,1074.228048324585,0,,0.0,-6.72,1074.228048324585,5.5200000000000005,1.22,,,1,5.5200000000000005,0,1.22,0,168
